# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.8.5
#@/tick	5872
#@/user_id	archlinux
a 	啊	c=6 d=0.914247 t=5872
a li 	阿里	c=0 d=0.00120342 t=5872
a li yun 	阿里雲	c=2 d=0.0242497 t=5872
a li yun piao 	阿里雲票	c=1 d=0.148823 t=5872
a wei 	阿偉	c=1 d=0.818731 t=5872
an 	按	c=5 d=0.363091 t=5872
an chun 	鵪鶉	c=1 d=0.927743 t=5872
an fang 	安防	c=2 d=0.0378227 t=5872
an hui 	安徽	c=1 d=0.0166557 t=5872
an jian 	按鍵	c=4 d=0.0738177 t=5872
an jian 	案件	c=1 d=0.000925666 t=5872
an zhao 	按照	c=1 d=0.00360656 t=5872
an zhuang 	安裝	c=4 d=0.694197 t=5872
ang 	昂	c=1 d=0.822835 t=5872
ao tuo 	奧拓	c=0 d=0.0064894 t=5872
ba 	吧	c=15 d=1.18868 t=5872
ba 	把	c=15 d=1.1293 t=5872
ba cheng 	八成	c=0 d=0.0197899 t=5872
ba sang 	吧桑	c=2 d=1.1981 t=5872
bai 	白	c=0 d=0.000315111 t=5872
bai cai 	白菜	c=0 d=0.00129068 t=5872
bai fen bi 	百分比	c=1 d=0.194952 t=5872
bai ming 	百名	c=0 d=0.00031354 t=5872
bai ming dan 	白名單	c=1 d=0.00316691 t=5872
bai ming dan 	百名但	c=1 d=0.00315111 t=5872
ban 	半	c=0 d=3.83949e-05 t=5872
ban 	版	c=1 d=0.0225956 t=5872
ban ben 	版本	c=6 d=0.672269 t=5872
bao 	包	c=3 d=1.26107 t=5872
bao bao 	寶寶	c=0 d=0.00190631 t=5872
bao bao o 	寶寶哦	c=1 d=0.0191587 t=5872
bao chi 	保持	c=3 d=0.494623 t=5872
bao cun 	保存	c=3 d=0.00306464 t=5872
bao cuo 	報錯	c=1 d=0.33454 t=5872
bao han 	包含	c=3 d=0.511795 t=5872
bao hu 	保護	c=1 d=5.20964e-06 t=5872
