# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.8.5
#@/tick	56430
#@/user_id	mac
a 	啊	c=52 d=2.7359 t=56430
a ha 	啊哈	c=1 d=0.0761538 t=56430
a li 	阿里	c=18 d=2.25417 t=56430
a li yun 	阿里雲	c=34 d=1.73995 t=56430
a li yun dun 	阿里雲盾	c=1 d=0.29671 t=56430
a li yun pan 	阿里雲盤	c=2 d=0.717821 t=56430
a li yun piao 	阿里雲票	c=1 d=0.148823 t=56430
a wei 	阿偉	c=1 d=0.818731 t=56430
a zhe 	啊這	c=2 d=0.257752 t=56430
a zhe 	阿者	c=1 d=0.0366992 t=56430
ai 	愛	c=2 d=0.95355 t=56430
ai bu 	愛不	c=2 d=0.951229 t=56430
ai shang 	愛上	c=1 d=2.67226e-05 t=56430
ai xin 	愛心	c=1 d=0.00225411 t=56430
ai xun 	愛尋	c=1 d=0.729789 t=56430
an 	按	c=41 d=3.36148 t=56430
an chun 	鵪鶉	c=1 d=0.927743 t=56430
an fang 	安防	c=2 d=0.0378227 t=56430
an fang ping tai 	安防平臺	c=1 d=1.19267e-14 t=56430
an hui 	安徽	c=1 d=0.0166557 t=56430
an jian 	安檢	c=1 d=1.02458e-21 t=56430
an jian 	按鍵	c=16 d=5.47269 t=56430
an jian 	案件	c=1 d=0.000925666 t=56430
an ke rui 	安科瑞	c=1 d=0.0278757 t=56430
an liang 	按量	c=1 d=3.99687e-06 t=56430
an ni zhe ge 	按你這個	c=1 d=0.0169075 t=56430
an niu 	按鈕	c=5 d=2.60552 t=56430
an niu jian cha 	按鈕檢查	c=1 d=0.00477195 t=56430
an quan 	安全	c=6 d=0.726156 t=56430
an quan mao 	安全帽	c=3 d=0.00118859 t=56430
an quan xing 	安全性	c=1 d=0.763379 t=56430
an shang mian 	按上面	c=1 d=0.00683978 t=56430
an shi 	暗示	c=1 d=0.00451658 t=56430
an shun xu 	按順序	c=1 d=0.00316691 t=56430
an tiao jian 	按條件	c=1 d=7.03228e-06 t=56430
an wan 	按完	c=1 d=3.44845e-05 t=56430
an xia 	按下	c=3 d=1.74429 t=56430
an xia de 	按下的	c=1 d=0.0031042 t=56430
an xin 	安信	c=0 d=0.0458406 t=56430
an zhao 	按照	c=8 d=1.80381 t=56430
an zhuang 	安裝	c=61 d=10.6529 t=56430
an zhuang bao 	安裝包	c=1 d=0.00431784 t=56430
an zhuang hou 	安裝後	c=2 d=0.965605 t=56430
an zhuang le 	安裝了	c=1 d=0.0169075 t=56430
an zhuang wan 	安裝完	c=1 d=0.00540733 t=56430
an zhuo 	安卓	c=2 d=2.24941e-11 t=56430
ang 	昂	c=5 d=1.42333 t=56430
ao 	熬	c=1 d=0.97531 t=56430
ao la 	奧拉	c=1 d=0.66365 t=56430
ao li 	傲立	c=1 d=5.1578e-06 t=56430
ao lian 	熬煉	c=1 d=1.10611e-10 t=56430
ao lin 	奧林	c=1 d=0.394554 t=56430
